district,year,residue_tonnes
Porbandar,2018,272825.2
Porbandar,2019,487042.6
Porbandar,2020,409198.9
Porbandar,2021,458890.77
Porbandar,2022,540757.6
Rajkot,2010,6779060.0
Rajkot,2011,6711090.0
Rajkot,2012,1609920.0
Rajkot,2013,6870523.5
Rajkot,2014,3108376.0
Rajkot,2015,1134639.9
Rajkot,2016,488907.7
Rajkot,2017,5196468.6
Rajkot,2018,2073828.9
Rajkot,2019,5195299.6
Rajkot,2020,3850391.7
Rajkot,2021,1588281.73
Rajkot,2022,4741627.0
Sabar Kantha,2010,2574730.0
Sabar Kantha,2011,2871930.0
Sabar Kantha,2012,2625660.0
Sabar Kantha,2013,2294193.7
Sabar Kantha,2014,1545989.1
Sabar Kantha,2015,1498866.6
Sabar Kantha,2016,1167713.4
Sabar Kantha,2017,1839197.3
Sabar Kantha,2018,1442188.5
Sabar Kantha,2019,1320013.7
Sabar Kantha,2020,1451051.9
Sabar Kantha,2021,975292.39
Sabar Kantha,2022,1506619.0
Surat,2010,2631720.0
Surat,2011,2589660.0
Surat,2012,471510.0
Surat,2013,2164138.7
Surat,2014,2447003.8
Surat,2015,1840806.7999999998
Surat,2016,2021693.4999999998
Surat,2017,2163532.5999999996
Surat,2018,2103565.8
Surat,2019,1793335.5999999999
Surat,2020,2270975.7
Surat,2021,2361137.92
Surat,2022,2204347.6
Surendranagar,2010,5641520.0
Surendranagar,2011,6186730.0
Surendranagar,2012,1995580.0
Surendranagar,2013,4822875.7
Surendranagar,2014,4074171.5
Surendranagar,2015,4450818.4
Surendranagar,2016,2793323.2
Surendranagar,2017,4403166.8
Surendranagar,2018,2574609.7
Surendranagar,2019,3388930.9
Surendranagar,2020,3650389.5
Surendranagar,2021,1021440.27
Surendranagar,2022,4941117.4
Tapi,2010,414650.0
Tapi,2011,665960.0
Tapi,2012,402570.0
Tapi,2013,884525.8
Tapi,2014,854763.0
Tapi,2015,730066.1
Tapi,2016,770483.1
Tapi,2017,819693.2
Tapi,2018,969002.5
Tapi,2019,1006402.0
Tapi,2020,1085306.5
Tapi,2021,1027847.05
Tapi,2022,1168233.9
